method,auroc,auprc,rmse_duration,coverage_95,rep_id,fold
glm_em,0.6230371656277125,0.015580747473720853,7.011193096174925,NA,1,1
bayes_mcmc,NA,NA,NA,NA,1,1
glm_em,0.5274707279128797,0.008967362161273675,5.595924317497687,NA,1,2
bayes_mcmc,NA,NA,NA,NA,1,2
glm_em,0.5284164677304519,0.0072332071304997,8.240135139490041,NA,1,3
bayes_mcmc,NA,NA,NA,NA,1,3
glm_em,0.5463447016845075,0.005564362976087797,7.8722795101415874,NA,1,4
bayes_mcmc,NA,NA,NA,NA,1,4
glm_em,0.5404618850920015,0.00925091522181977,7.773917049922998,NA,1,5
bayes_mcmc,NA,NA,NA,NA,1,5
glm_em,0.5218073188946976,0.007167888091442878,7.622090932002345,NA,2,1
bayes_mcmc,NA,NA,NA,NA,2,1
glm_em,0.5435534698910736,0.010053184907508894,6.436957434916009,NA,2,2
bayes_mcmc,NA,NA,NA,NA,2,2
glm_em,0.5549662487945998,0.005777517691851933,6.539793833605521,NA,2,3
bayes_mcmc,NA,NA,NA,NA,2,3
glm_em,0.6878234633426564,0.013149121545343513,8.782315077300673,NA,2,4
bayes_mcmc,NA,NA,NA,NA,2,4
glm_em,0.6525291005291005,0.01818364546241303,7.1251241703344554,NA,2,5
bayes_mcmc,NA,NA,NA,NA,2,5
glm_em,0.527389903329753,0.008176617982331179,9.34890807601866,NA,3,1
bayes_mcmc,NA,NA,NA,NA,3,1
glm_em,0.5439886039886039,0.00649834038073438,7.630190749476451,NA,3,2
bayes_mcmc,NA,NA,NA,NA,3,2
glm_em,0.4812520854187521,0.009639586512646986,10.789958736120091,NA,3,3
bayes_mcmc,NA,NA,NA,NA,3,3
glm_em,0.5667601263066202,0.013743333728655147,7.156675980337272,NA,3,4
bayes_mcmc,NA,NA,NA,NA,3,4
glm_em,0.562557955833362,0.010132378736405614,8.023055445356567,NA,3,5
bayes_mcmc,NA,NA,NA,NA,3,5
glm_em,0.6223311957751791,0.01253630724867004,8.233076119701071,NA,4,1
bayes_mcmc,NA,NA,NA,NA,4,1
glm_em,0.6302626676602087,0.009404375617043409,5.9932283838718945,NA,4,2
bayes_mcmc,NA,NA,NA,NA,4,2
glm_em,0.5504349987571464,0.004720466213608776,7.914202076078194,NA,4,3
bayes_mcmc,NA,NA,NA,NA,4,3
glm_em,0.47479292361182124,0.009963566884219704,5.580003092418411,NA,4,4
bayes_mcmc,NA,NA,NA,NA,4,4
glm_em,0.5300726022162782,0.012210570771675686,8.097570766383958,NA,4,5
bayes_mcmc,NA,NA,NA,NA,4,5
glm_em,0.6552680914885639,0.014814979702107343,7.103790763705996,NA,5,1
bayes_mcmc,NA,NA,NA,NA,5,1
glm_em,0.5392454954954955,0.007962907742209702,6.760904605141235,NA,5,2
bayes_mcmc,NA,NA,NA,NA,5,2
glm_em,0.5039674732769361,0.00945797562831565,14.766716138345384,NA,5,3
bayes_mcmc,NA,NA,NA,NA,5,3
glm_em,0.6340597255851493,0.01587900399449752,7.816000601902929,NA,5,4
bayes_mcmc,NA,NA,NA,NA,5,4
glm_em,0.6973170731707317,0.015800830503625844,7.413608983548739,NA,5,5
bayes_mcmc,NA,NA,NA,NA,5,5
